n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
19980.0,20.0,0.0,0.0,0.0,0.0
19980.0,21.0,1.0,0.0,0.0,0.0
19980.0,21.0,1.0,0.0,0.0,0.0
19979.0,22.0,8.0,0.0,0.0,0.0
19974.0,27.0,16.0,2.0,0.0,0.0
19967.0,34.0,20.0,4.0,0.0,0.0
19962.0,39.0,21.0,6.0,0.0,0.0
19957.0,44.0,22.0,7.0,0.0,0.0
19951.0,49.0,26.0,9.0,0.0,0.0
19944.0,57.0,31.0,10.0,0.0,0.0
19936.0,62.0,33.0,12.0,3.0,0.0
19928.0,67.0,36.0,14.0,6.0,0.0
19915.0,79.0,40.0,17.0,7.0,0.0
19902.0,87.0,42.0,19.0,12.0,0.0
19889.0,98.0,48.0,22.0,15.0,0.0
19873.0,109.0,51.0,25.0,20.0,0.0
19857.0,121.0,57.0,29.0,24.0,0.0
19836.0,138.0,67.0,34.0,27.0,0.0
19811.0,160.0,78.0,39.0,31.0,0.0
19787.0,179.0,88.0,44.0,35.0,0.0
19755.0,207.0,98.0,49.0,40.0,0.0
19722.0,232.0,111.0,56.0,46.0,0.0
19685.0,261.0,123.0,64.0,56.0,0.0
19640.0,298.0,141.0,74.0,63.0,0.0
19591.0,337.0,160.0,84.0,73.0,0.0
19536.0,380.0,182.0,96.0,85.0,0.0
19474.0,430.0,205.0,110.0,97.0,0.0
19414.0,478.0,233.0,128.0,109.0,1.0
19343.0,535.0,265.0,147.0,124.0,1.0
19256.0,606.0,306.0,169.0,139.0,1.0
19163.0,678.0,343.0,190.0,160.0,1.0
19058.0,763.0,382.0,215.0,181.0,1.0
18950.0,845.0,425.0,244.0,206.0,1.0
18829.0,938.0,475.0,284.0,234.0,1.0
18709.0,1021.0,530.0,330.0,270.0,1.0
18590.0,1102.0,587.0,391.0,308.0,1.0
18472.0,1177.0,653.0,462.0,352.0,1.0
18352.0,1249.0,713.0,543.0,400.0,1.0
18236.0,1310.0,779.0,631.0,454.0,1.0
18118.0,1377.0,842.0,724.0,506.0,2.0
18011.0,1417.0,891.0,821.0,572.0,2.0
17918.0,1439.0,940.0,916.0,643.0,2.0
17835.0,1446.0,985.0,1016.0,719.0,2.0
17757.0,1443.0,1020.0,1115.0,799.0,2.0
17683.0,1423.0,1033.0,1208.0,893.0,3.0
17623.0,1386.0,1034.0,1290.0,990.0,3.0
17566.0,1339.0,1018.0,1372.0,1094.0,3.0
17510.0,1285.0,993.0,1448.0,1203.0,3.0
17467.0,1219.0,958.0,1513.0,1312.0,4.0
17422.0,1151.0,913.0,1572.0,1425.0,4.0
17380.0,1083.0,868.0,1629.0,1534.0,5.0
17344.0,1011.0,810.0,1677.0,1643.0,5.0
17311.0,936.0,752.0,1723.0,1750.0,5.0
17283.0,863.0,696.0,1763.0,1850.0,5.0
17253.0,803.0,650.0,1799.0,1939.0,6.0
17226.0,740.0,600.0,1831.0,2028.0,7.0
17200.0,686.0,557.0,1861.0,2109.0,7.0
17175.0,635.0,514.0,1888.0,2184.0,8.0
17148.0,594.0,473.0,1912.0,2251.0,9.0
17124.0,556.0,440.0,1934.0,2312.0,9.0
17105.0,519.0,410.0,1955.0,2368.0,10.0
17081.0,491.0,385.0,1975.0,2419.0,10.0
17056.0,468.0,362.0,1994.0,2467.0,11.0
17033.0,446.0,340.0,2010.0,2511.0,11.0
17008.0,432.0,325.0,2028.0,2549.0,12.0
16987.0,414.0,309.0,2044.0,2589.0,12.0
16962.0,403.0,295.0,2059.0,2624.0,13.0
16941.0,391.0,286.0,2073.0,2657.0,13.0
16917.0,383.0,278.0,2089.0,2688.0,14.0
16889.0,380.0,272.0,2103.0,2719.0,14.0
16865.0,374.0,265.0,2117.0,2748.0,15.0
16839.0,371.0,258.0,2130.0,2777.0,15.0
16812.0,371.0,255.0,2145.0,2804.0,15.0
16784.0,372.0,256.0,2160.0,2830.0,15.0
16755.0,376.0,254.0,2173.0,2856.0,15.0
16729.0,377.0,255.0,2187.0,2880.0,16.0
16698.0,380.0,254.0,2201.0,2907.0,16.0
16668.0,385.0,256.0,2216.0,2933.0,16.0
16641.0,384.0,256.0,2232.0,2960.0,16.0
16608.0,391.0,259.0,2250.0,2986.0,17.0
16577.0,398.0,263.0,2266.0,3009.0,17.0
16544.0,407.0,265.0,2284.0,3033.0,17.0
16513.0,411.0,269.0,2298.0,3061.0,18.0
16480.0,419.0,276.0,2315.0,3085.0,18.0
16448.0,423.0,278.0,2332.0,3112.0,18.0
16415.0,429.0,282.0,2351.0,3140.0,18.0
16382.0,437.0,288.0,2368.0,3165.0,18.0
16343.0,449.0,294.0,2386.0,3192.0,18.0
16305.0,457.0,299.0,2404.0,3221.0,19.0
16266.0,464.0,298.0,2423.0,3253.0,19.0
16231.0,473.0,305.0,2444.0,3279.0,19.0
16191.0,485.0,315.0,2462.0,3307.0,19.0
16150.0,494.0,321.0,2482.0,3338.0,20.0
16111.0,503.0,329.0,2501.0,3368.0,20.0
16069.0,513.0,333.0,2522.0,3400.0,20.0
16027.0,522.0,339.0,2542.0,3432.0,20.0
15988.0,527.0,347.0,2564.0,3466.0,20.0
15945.0,540.0,355.0,2587.0,3497.0,21.0
15905.0,544.0,360.0,2612.0,3532.0,21.0
15867.0,546.0,365.0,2634.0,3568.0,21.0
15823.0,552.0,369.0,2658.0,3606.0,21.0
15778.0,563.0,378.0,2681.0,3640.0,21.0
15737.0,567.0,381.0,2701.0,3676.0,22.0
15696.0,570.0,381.0,2724.0,3714.0,22.0
15653.0,573.0,382.0,2746.0,3754.0,22.0
15612.0,572.0,382.0,2770.0,3796.0,22.0
15576.0,568.0,382.0,2792.0,3837.0,22.0
15534.0,567.0,384.0,2816.0,3878.0,22.0
15496.0,566.0,385.0,2842.0,3917.0,22.0
15458.0,564.0,385.0,2866.0,3957.0,22.0
15422.0,563.0,389.0,2889.0,3994.0,22.0
15385.0,560.0,390.0,2914.0,4034.0,22.0
15347.0,558.0,389.0,2940.0,4074.0,22.0
15310.0,554.0,385.0,2962.0,4115.0,23.0
15271.0,550.0,381.0,2988.0,4158.0,23.0
15234.0,549.0,379.0,3010.0,4196.0,23.0
15199.0,545.0,376.0,3031.0,4235.0,23.0
15160.0,546.0,379.0,3054.0,4272.0,23.0
15121.0,541.0,370.0,3075.0,4317.0,24.0
15086.0,536.0,369.0,3098.0,4356.0,24.0
15051.0,533.0,367.0,3118.0,4394.0,24.0
15016.0,530.0,365.0,3139.0,4431.0,24.0
14980.0,529.0,363.0,3158.0,4469.0,25.0
14943.0,525.0,362.0,3179.0,4508.0,25.0
14908.0,525.0,360.0,3204.0,4544.0,25.0
14870.0,523.0,357.0,3225.0,4584.0,25.0
14834.0,522.0,355.0,3247.0,4620.0,25.0
14798.0,519.0,353.0,3268.0,4659.0,26.0
14764.0,519.0,359.0,3289.0,4693.0,26.0
14728.0,517.0,356.0,3311.0,4730.0,27.0
