n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99974.0,19.0,6.0,1.0,0.0,0.0
99965.0,22.0,12.0,2.0,0.0,0.0
99956.0,26.0,15.0,4.0,0.0,0.0
99946.0,32.0,17.0,6.0,0.0,0.0
99935.0,39.0,20.0,7.0,0.0,0.0
99918.0,49.0,25.0,9.0,0.0,0.0
99895.0,63.0,30.0,12.0,1.0,0.0
99869.0,81.0,35.0,13.0,3.0,0.0
99837.0,101.0,41.0,15.0,8.0,0.0
99798.0,123.0,52.0,16.0,12.0,0.0
99746.0,155.0,64.0,21.0,16.0,0.0
99676.0,199.0,78.0,27.0,21.0,0.0
99600.0,243.0,99.0,31.0,28.0,0.0
99505.0,300.0,123.0,40.0,33.0,0.0
99389.0,367.0,155.0,51.0,40.0,0.0
99237.0,460.0,193.0,65.0,47.0,0.0
99035.0,587.0,239.0,83.0,57.0,0.0
98795.0,740.0,292.0,103.0,72.0,0.0
98501.0,918.0,362.0,130.0,91.0,0.0
98145.0,1130.0,451.0,162.0,114.0,0.0
97713.0,1383.0,561.0,203.0,142.0,0.0
97171.0,1693.0,705.0,258.0,175.0,0.0
96516.0,2072.0,871.0,321.0,221.0,0.0
95727.0,2535.0,1070.0,396.0,273.0,0.0
94789.0,3059.0,1315.0,498.0,341.0,0.0
93613.0,3729.0,1617.0,619.0,423.0,1.0
92150.0,4566.0,2003.0,758.0,524.0,1.0
90429.0,5543.0,2450.0,923.0,656.0,1.0
88402.0,6685.0,2963.0,1136.0,815.0,1.0
86069.0,7908.0,3619.0,1390.0,1015.0,1.0
83365.0,9249.0,4364.0,1765.0,1258.0,1.0
80585.0,10417.0,5218.0,2223.0,1558.0,2.0
77866.0,11253.0,5674.0,3276.0,1931.0,2.0
75335.0,11584.0,6223.0,4471.0,2387.0,3.0
73095.0,11367.0,6609.0,5993.0,2935.0,3.0
71293.0,10567.0,6930.0,7602.0,3607.0,3.0
69869.0,9410.0,6687.0,9629.0,4403.0,4.0
68736.0,8045.0,6631.0,11190.0,5395.0,5.0
67812.0,6693.0,6559.0,12357.0,6574.0,6.0
67050.0,5499.0,6546.0,12932.0,7967.0,8.0
66404.0,4515.0,6500.0,12962.0,9611.0,10.0
65859.0,3733.0,6439.0,12472.0,11487.0,12.0
65370.0,3133.0,6279.0,11666.0,13539.0,15.0
64941.0,2650.0,6011.0,10651.0,15731.0,18.0
64571.0,2278.0,5627.0,9552.0,17951.0,22.0
64252.0,1979.0,5144.0,8422.0,20179.0,26.0
63971.0,1717.0,4619.0,7363.0,22301.0,31.0
63732.0,1490.0,4116.0,6405.0,24224.0,35.0
63519.0,1294.0,3629.0,5564.0,25954.0,42.0
63325.0,1135.0,3173.0,4848.0,27471.0,49.0
63159.0,998.0,2783.0,4269.0,28737.0,56.0
63010.0,877.0,2429.0,3777.0,29846.0,62.0
62867.0,783.0,2120.0,3381.0,30780.0,71.0
62724.0,729.0,1828.0,3055.0,31587.0,79.0
62588.0,682.0,1605.0,2776.0,32263.0,87.0
62459.0,647.0,1401.0,2527.0,32871.0,96.0
62333.0,613.0,1246.0,2309.0,33397.0,104.0
62207.0,597.0,1113.0,2111.0,33862.0,112.0
62083.0,577.0,1006.0,1938.0,34278.0,119.0
61945.0,585.0,917.0,1774.0,34655.0,126.0
61816.0,582.0,852.0,1631.0,34987.0,134.0
61676.0,591.0,811.0,1509.0,35274.0,141.0
61521.0,618.0,780.0,1394.0,35542.0,146.0
61362.0,645.0,754.0,1291.0,35797.0,152.0
61202.0,674.0,737.0,1210.0,36021.0,157.0
61024.0,710.0,738.0,1129.0,36239.0,162.0
60840.0,747.0,751.0,1056.0,36442.0,166.0
60644.0,788.0,764.0,998.0,36638.0,170.0
60436.0,838.0,789.0,946.0,36819.0,174.0
60221.0,881.0,822.0,909.0,36991.0,177.0
59992.0,928.0,857.0,878.0,37165.0,181.0
59748.0,985.0,894.0,856.0,37334.0,184.0
59491.0,1042.0,941.0,839.0,37503.0,186.0
59227.0,1094.0,989.0,830.0,37674.0,189.0
58950.0,1141.0,1055.0,832.0,37833.0,191.0
58666.0,1189.0,1106.0,849.0,37999.0,193.0
58362.0,1247.0,1160.0,863.0,38175.0,195.0
58050.0,1295.0,1226.0,879.0,38354.0,197.0
57728.0,1349.0,1281.0,907.0,38538.0,198.0
57394.0,1404.0,1338.0,927.0,38739.0,200.0
57055.0,1450.0,1404.0,949.0,38942.0,202.0
56699.0,1491.0,1481.0,975.0,39152.0,203.0
56347.0,1528.0,1541.0,1004.0,39377.0,205.0
55988.0,1564.0,1598.0,1036.0,39610.0,206.0
55611.0,1609.0,1647.0,1076.0,39851.0,207.0
55247.0,1623.0,1709.0,1116.0,40098.0,208.0
54883.0,1630.0,1774.0,1150.0,40355.0,210.0
54515.0,1633.0,1822.0,1189.0,40631.0,211.0
54161.0,1632.0,1864.0,1222.0,40911.0,212.0
53805.0,1622.0,1910.0,1259.0,41193.0,213.0
53457.0,1605.0,1936.0,1301.0,41488.0,215.0
53113.0,1586.0,1951.0,1335.0,41801.0,216.0
52765.0,1576.0,1956.0,1358.0,42130.0,217.0
52443.0,1546.0,1952.0,1374.0,42468.0,218.0
52119.0,1518.0,1955.0,1380.0,42810.0,220.0
51799.0,1494.0,1946.0,1393.0,43148.0,221.0
51508.0,1448.0,1936.0,1397.0,43490.0,223.0
51217.0,1404.0,1919.0,1400.0,43838.0,224.0
50933.0,1355.0,1908.0,1398.0,44182.0,225.0
50652.0,1319.0,1869.0,1399.0,44537.0,226.0
50380.0,1284.0,1825.0,1392.0,44892.0,228.0
50109.0,1261.0,1781.0,1388.0,45233.0,229.0
49844.0,1234.0,1729.0,1379.0,45585.0,231.0
49599.0,1196.0,1687.0,1359.0,45929.0,232.0
49361.0,1164.0,1638.0,1340.0,46265.0,233.0
49131.0,1123.0,1606.0,1304.0,46602.0,236.0
48904.0,1084.0,1573.0,1278.0,46925.0,238.0
48684.0,1048.0,1529.0,1253.0,47248.0,240.0
48463.0,1028.0,1485.0,1228.0,47556.0,242.0
48249.0,1008.0,1444.0,1206.0,47851.0,243.0
48043.0,981.0,1399.0,1191.0,48143.0,245.0
47851.0,941.0,1360.0,1165.0,48438.0,246.0
47657.0,916.0,1319.0,1131.0,48731.0,248.0
47468.0,896.0,1282.0,1098.0,49008.0,250.0
