n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99974.0,19.0,6.0,1.0,0.0,0.0
99965.0,22.0,12.0,2.0,0.0,0.0
99956.0,26.0,15.0,4.0,0.0,0.0
99946.0,32.0,17.0,6.0,0.0,0.0
99935.0,39.0,20.0,7.0,0.0,0.0
99918.0,49.0,25.0,9.0,0.0,0.0
99895.0,63.0,30.0,12.0,1.0,0.0
99869.0,81.0,35.0,13.0,3.0,0.0
99837.0,101.0,41.0,15.0,8.0,0.0
99798.0,123.0,52.0,16.0,12.0,0.0
99746.0,155.0,64.0,21.0,16.0,0.0
99676.0,199.0,78.0,27.0,21.0,0.0
99600.0,243.0,99.0,31.0,28.0,0.0
99505.0,300.0,123.0,40.0,33.0,0.0
99389.0,367.0,155.0,51.0,40.0,0.0
99237.0,460.0,193.0,65.0,47.0,0.0
99035.0,587.0,239.0,83.0,57.0,0.0
98795.0,740.0,292.0,103.0,72.0,0.0
98501.0,918.0,362.0,130.0,91.0,0.0
98145.0,1130.0,451.0,162.0,114.0,0.0
97713.0,1383.0,561.0,203.0,142.0,0.0
97171.0,1693.0,705.0,258.0,175.0,0.0
96516.0,2072.0,871.0,321.0,221.0,0.0
95727.0,2535.0,1070.0,396.0,273.0,0.0
94789.0,3059.0,1315.0,498.0,341.0,0.0
93613.0,3729.0,1617.0,619.0,423.0,1.0
92150.0,4566.0,2003.0,758.0,524.0,1.0
90429.0,5543.0,2450.0,923.0,656.0,1.0
88888.0,6199.0,2963.0,1136.0,815.0,1.0
88050.0,5926.0,2940.0,2070.0,1015.0,1.0
87493.0,5151.0,2093.0,4005.0,1258.0,1.0
86884.0,4324.0,2225.0,5009.0,1558.0,2.0
86192.0,3697.0,3079.0,5101.0,1931.0,2.0
85477.0,3342.0,3710.0,5084.0,2387.0,3.0
84763.0,3213.0,4038.0,5051.0,2935.0,3.0
84091.0,3146.0,4216.0,4940.0,3605.0,3.0
83441.0,3092.0,4323.0,4754.0,4388.0,4.0
82825.0,3004.0,4355.0,4470.0,5342.0,5.0
82213.0,2919.0,4303.0,4175.0,6386.0,6.0
81633.0,2817.0,4184.0,3876.0,7483.0,8.0
81070.0,2734.0,4009.0,3611.0,8568.0,10.0
80539.0,2628.0,3852.0,3363.0,9608.0,12.0
80047.0,2493.0,3706.0,3186.0,10555.0,15.0
79561.0,2385.0,3566.0,3059.0,11412.0,18.0
79080.0,2293.0,3450.0,2962.0,12196.0,21.0
78612.0,2214.0,3336.0,2886.0,12931.0,23.0
78152.0,2160.0,3221.0,2811.0,13632.0,26.0
77726.0,2082.0,3107.0,2743.0,14315.0,30.0
77323.0,2006.0,2983.0,2674.0,14983.0,34.0
76937.0,1921.0,2878.0,2608.0,15619.0,38.0
76548.0,1861.0,2770.0,2529.0,16250.0,43.0
76176.0,1797.0,2670.0,2463.0,16850.0,46.0
75798.0,1756.0,2583.0,2374.0,17441.0,50.0
75453.0,1707.0,2487.0,2289.0,18012.0,54.0
75112.0,1643.0,2420.0,2219.0,18549.0,59.0
74776.0,1592.0,2355.0,2145.0,19072.0,62.0
74459.0,1545.0,2267.0,2067.0,19598.0,66.0
74129.0,1518.0,2195.0,2012.0,20078.0,69.0
73817.0,1475.0,2130.0,1946.0,20561.0,73.0
73510.0,1446.0,2055.0,1892.0,21021.0,77.0
73194.0,1432.0,1998.0,1839.0,21459.0,80.0
72907.0,1396.0,1939.0,1789.0,21888.0,83.0
72627.0,1357.0,1889.0,1738.0,22304.0,86.0
72354.0,1314.0,1838.0,1691.0,22716.0,89.0
72084.0,1275.0,1796.0,1652.0,23102.0,93.0
71812.0,1248.0,1757.0,1605.0,23484.0,96.0
71549.0,1230.0,1716.0,1558.0,23850.0,98.0
71291.0,1203.0,1676.0,1522.0,24209.0,101.0
71028.0,1193.0,1639.0,1479.0,24559.0,104.0
70773.0,1173.0,1599.0,1447.0,24903.0,107.0
70530.0,1156.0,1554.0,1399.0,25253.0,109.0
70287.0,1137.0,1515.0,1376.0,25575.0,111.0
70061.0,1113.0,1480.0,1341.0,25893.0,114.0
69833.0,1085.0,1454.0,1310.0,26203.0,116.0
69601.0,1062.0,1436.0,1275.0,26510.0,119.0
69371.0,1046.0,1420.0,1242.0,26801.0,121.0
69149.0,1035.0,1393.0,1216.0,27085.0,124.0
68928.0,1027.0,1357.0,1196.0,27367.0,126.0
68714.0,1008.0,1335.0,1170.0,27647.0,129.0
68500.0,992.0,1321.0,1142.0,27916.0,131.0
68285.0,984.0,1302.0,1118.0,28180.0,133.0
68079.0,963.0,1280.0,1099.0,28447.0,135.0
67870.0,948.0,1264.0,1075.0,28707.0,138.0
67662.0,936.0,1253.0,1060.0,28952.0,139.0
67462.0,927.0,1227.0,1046.0,29199.0,141.0
67269.0,905.0,1208.0,1029.0,29448.0,143.0
67069.0,905.0,1184.0,1011.0,29689.0,144.0
66879.0,891.0,1166.0,999.0,29920.0,146.0
66686.0,879.0,1160.0,976.0,30153.0,147.0
66492.0,871.0,1143.0,960.0,30387.0,149.0
66308.0,867.0,1115.0,941.0,30621.0,150.0
66123.0,860.0,1098.0,920.0,30848.0,152.0
65938.0,852.0,1091.0,903.0,31065.0,154.0
65753.0,838.0,1092.0,883.0,31280.0,155.0
65573.0,829.0,1077.0,875.0,31491.0,156.0
65393.0,817.0,1068.0,869.0,31697.0,158.0
65208.0,819.0,1060.0,854.0,31901.0,159.0
65038.0,812.0,1043.0,844.0,32105.0,160.0
64866.0,798.0,1035.0,842.0,32299.0,162.0
64698.0,780.0,1031.0,832.0,32497.0,163.0
64527.0,771.0,1015.0,819.0,32705.0,165.0
64352.0,777.0,996.0,814.0,32896.0,167.0
64178.0,781.0,983.0,802.0,33091.0,167.0
64008.0,780.0,978.0,798.0,33269.0,169.0
63848.0,764.0,966.0,785.0,33468.0,170.0
63680.0,759.0,964.0,776.0,33652.0,172.0
63523.0,745.0,956.0,766.0,33840.0,173.0
63364.0,735.0,941.0,765.0,34022.0,174.0
63205.0,724.0,935.0,758.0,34204.0,175.0
63053.0,714.0,925.0,747.0,34386.0,177.0
62898.0,710.0,917.0,739.0,34560.0,178.0
62748.0,701.0,904.0,738.0,34732.0,179.0
62592.0,695.0,899.0,730.0,34906.0,180.0
62435.0,691.0,889.0,723.0,35082.0,181.0
62282.0,693.0,878.0,713.0,35254.0,182.0
