n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99974.0,19.0,6.0,1.0,0.0,0.0
99965.0,22.0,12.0,2.0,0.0,0.0
99956.0,26.0,15.0,4.0,0.0,0.0
99946.0,32.0,17.0,6.0,0.0,0.0
99935.0,39.0,20.0,7.0,0.0,0.0
99918.0,49.0,25.0,9.0,0.0,0.0
99895.0,63.0,30.0,12.0,1.0,0.0
99869.0,81.0,35.0,13.0,3.0,0.0
99837.0,101.0,41.0,15.0,8.0,0.0
99798.0,123.0,52.0,16.0,12.0,0.0
99746.0,155.0,64.0,21.0,16.0,0.0
99676.0,199.0,78.0,27.0,21.0,0.0
99600.0,243.0,99.0,31.0,28.0,0.0
99505.0,300.0,123.0,40.0,33.0,0.0
99389.0,367.0,155.0,51.0,40.0,0.0
99237.0,460.0,193.0,65.0,47.0,0.0
99035.0,587.0,239.0,83.0,57.0,0.0
98795.0,740.0,292.0,103.0,72.0,0.0
98501.0,918.0,362.0,130.0,91.0,0.0
98145.0,1130.0,451.0,162.0,114.0,0.0
97713.0,1383.0,561.0,203.0,142.0,0.0
97171.0,1693.0,705.0,258.0,175.0,0.0
96516.0,2072.0,871.0,321.0,221.0,0.0
95727.0,2535.0,1070.0,396.0,273.0,0.0
94789.0,3059.0,1315.0,498.0,341.0,0.0
93613.0,3729.0,1617.0,619.0,423.0,1.0
92150.0,4566.0,2003.0,758.0,524.0,1.0
90429.0,5543.0,2450.0,923.0,656.0,1.0
88808.0,6279.0,2963.0,1136.0,815.0,1.0
87728.0,6249.0,3081.0,1928.0,1015.0,1.0
86912.0,5729.0,2560.0,3541.0,1258.0,1.0
86065.0,5120.0,2653.0,4605.0,1558.0,2.0
85108.0,4685.0,3441.0,4835.0,1931.0,2.0
84104.0,4450.0,4154.0,4904.0,2387.0,3.0
83088.0,4398.0,4626.0,4952.0,2935.0,3.0
82096.0,4419.0,4924.0,4954.0,3605.0,3.0
81118.0,4440.0,5158.0,4890.0,4392.0,4.0
80134.0,4442.0,5327.0,4738.0,5355.0,5.0
79159.0,4425.0,5415.0,4581.0,6415.0,7.0
78185.0,4417.0,5435.0,4408.0,7549.0,8.0
77232.0,4368.0,5421.0,4261.0,8709.0,10.0
76301.0,4326.0,5398.0,4111.0,9853.0,12.0
75403.0,4261.0,5354.0,4012.0,10957.0,15.0
74539.0,4162.0,5312.0,3965.0,12006.0,18.0
73665.0,4062.0,5289.0,3957.0,13008.0,21.0
72816.0,3974.0,5248.0,3957.0,13984.0,23.0
71985.0,3893.0,5190.0,3958.0,14949.0,27.0
71194.0,3795.0,5129.0,3950.0,15902.0,31.0
70414.0,3702.0,5047.0,3943.0,16860.0,35.0
69669.0,3580.0,4977.0,3907.0,17828.0,41.0
68936.0,3491.0,4883.0,3885.0,18762.0,46.0
68222.0,3395.0,4769.0,3840.0,19726.0,49.0
67538.0,3284.0,4653.0,3815.0,20658.0,53.0
66889.0,3158.0,4563.0,3752.0,21581.0,59.0
66245.0,3058.0,4447.0,3695.0,22493.0,64.0
65633.0,2969.0,4306.0,3638.0,23387.0,69.0
65063.0,2843.0,4188.0,3577.0,24256.0,75.0
64516.0,2730.0,4064.0,3499.0,25113.0,80.0
64006.0,2574.0,3939.0,3431.0,25967.0,85.0
63528.0,2430.0,3808.0,3353.0,26792.0,91.0
63047.0,2323.0,3678.0,3262.0,27596.0,95.0
62595.0,2224.0,3523.0,3179.0,28381.0,100.0
62171.0,2126.0,3374.0,3078.0,29148.0,105.0
61763.0,2022.0,3246.0,2962.0,29899.0,110.0
61376.0,1933.0,3095.0,2860.0,30622.0,115.0
61015.0,1828.0,2967.0,2761.0,31311.0,120.0
60662.0,1747.0,2822.0,2663.0,31984.0,124.0
60330.0,1666.0,2678.0,2573.0,32626.0,128.0
60020.0,1580.0,2556.0,2462.0,33252.0,132.0
59717.0,1503.0,2439.0,2363.0,33844.0,137.0
59429.0,1436.0,2324.0,2270.0,34402.0,141.0
59156.0,1365.0,2214.0,2169.0,34950.0,147.0
58894.0,1294.0,2111.0,2091.0,35463.0,150.0
58648.0,1232.0,2002.0,2007.0,35959.0,154.0
58413.0,1178.0,1899.0,1927.0,36427.0,158.0
58174.0,1138.0,1803.0,1842.0,36883.0,162.0
57954.0,1092.0,1718.0,1765.0,37306.0,166.0
57747.0,1042.0,1633.0,1686.0,37725.0,169.0
57537.0,1002.0,1563.0,1612.0,38115.0,172.0
57345.0,961.0,1491.0,1549.0,38481.0,176.0
57148.0,930.0,1431.0,1476.0,38838.0,178.0
56963.0,898.0,1375.0,1402.0,39183.0,181.0
56782.0,874.0,1311.0,1341.0,39508.0,185.0
56600.0,850.0,1264.0,1273.0,39827.0,188.0
56429.0,827.0,1221.0,1215.0,40119.0,191.0
56253.0,804.0,1188.0,1165.0,40399.0,193.0
56089.0,782.0,1151.0,1112.0,40672.0,196.0
55923.0,774.0,1101.0,1074.0,40931.0,199.0
55766.0,748.0,1075.0,1034.0,41178.0,201.0
55610.0,731.0,1040.0,1000.0,41417.0,204.0
55452.0,720.0,1012.0,969.0,41642.0,206.0
55295.0,714.0,983.0,928.0,41874.0,208.0
55157.0,693.0,947.0,903.0,42090.0,211.0
55013.0,677.0,937.0,872.0,42291.0,212.0
54865.0,666.0,922.0,841.0,42494.0,215.0
54714.0,664.0,901.0,820.0,42686.0,216.0
54574.0,658.0,886.0,790.0,42876.0,218.0
54428.0,658.0,865.0,772.0,43060.0,219.0
54289.0,653.0,855.0,745.0,43239.0,221.0
54149.0,644.0,839.0,727.0,43421.0,222.0
54003.0,642.0,832.0,711.0,43590.0,224.0
53866.0,637.0,823.0,696.0,43754.0,225.0
53730.0,633.0,814.0,676.0,43923.0,226.0
53591.0,629.0,805.0,667.0,44082.0,228.0
53460.0,618.0,796.0,659.0,44240.0,229.0
53334.0,596.0,786.0,654.0,44401.0,230.0
53201.0,596.0,781.0,646.0,44546.0,231.0
53066.0,599.0,772.0,634.0,44698.0,232.0
52935.0,596.0,762.0,630.0,44845.0,234.0
52811.0,591.0,750.0,626.0,44988.0,235.0
52696.0,568.0,745.0,616.0,45140.0,236.0
52578.0,556.0,738.0,604.0,45289.0,237.0
52455.0,544.0,735.0,593.0,45437.0,238.0
52333.0,544.0,724.0,588.0,45573.0,239.0
52212.0,541.0,716.0,577.0,45715.0,240.0
