n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99974.0,19.0,6.0,1.0,0.0,0.0
99965.0,22.0,12.0,2.0,0.0,0.0
99956.0,26.0,15.0,4.0,0.0,0.0
99946.0,32.0,17.0,6.0,0.0,0.0
99935.0,39.0,20.0,7.0,0.0,0.0
99918.0,49.0,25.0,9.0,0.0,0.0
99895.0,63.0,30.0,12.0,1.0,0.0
99869.0,81.0,35.0,13.0,3.0,0.0
99837.0,101.0,41.0,15.0,8.0,0.0
99798.0,123.0,52.0,16.0,12.0,0.0
99746.0,155.0,64.0,21.0,16.0,0.0
99676.0,199.0,78.0,27.0,21.0,0.0
99600.0,243.0,99.0,31.0,28.0,0.0
99505.0,300.0,123.0,40.0,33.0,0.0
99389.0,367.0,155.0,51.0,40.0,0.0
99237.0,460.0,193.0,65.0,47.0,0.0
99035.0,587.0,239.0,83.0,57.0,0.0
98795.0,740.0,292.0,103.0,72.0,0.0
98501.0,918.0,362.0,130.0,91.0,0.0
98145.0,1130.0,451.0,162.0,114.0,0.0
97713.0,1383.0,561.0,203.0,142.0,0.0
97171.0,1693.0,705.0,258.0,175.0,0.0
96516.0,2072.0,871.0,321.0,221.0,0.0
95727.0,2535.0,1070.0,396.0,273.0,0.0
94789.0,3059.0,1315.0,498.0,341.0,0.0
93613.0,3729.0,1617.0,619.0,423.0,1.0
92150.0,4566.0,2003.0,758.0,524.0,1.0
90429.0,5543.0,2450.0,923.0,656.0,1.0
88402.0,6685.0,2963.0,1136.0,815.0,1.0
86077.0,7900.0,3619.0,1390.0,1015.0,1.0
83399.0,9214.0,4353.0,1776.0,1258.0,1.0
80782.0,10222.0,5168.0,2271.0,1558.0,2.0
78329.0,10791.0,5460.0,3489.0,1931.0,2.0
76178.0,10750.0,5836.0,4849.0,2387.0,3.0
74371.0,10180.0,5922.0,6591.0,2935.0,3.0
73055.0,9029.0,6039.0,8268.0,3607.0,3.0
72075.0,7630.0,5591.0,10300.0,4402.0,4.0
71289.0,6234.0,5532.0,11545.0,5397.0,5.0
70619.0,5030.0,5576.0,12197.0,6573.0,6.0
70054.0,4082.0,5701.0,12186.0,7970.0,8.0
69558.0,3337.0,5784.0,11718.0,9594.0,10.0
69106.0,2813.0,5751.0,10895.0,11425.0,12.0
68707.0,2405.0,5573.0,9918.0,13384.0,15.0
68363.0,2108.0,5236.0,8821.0,15455.0,19.0
68065.0,1842.0,4827.0,7721.0,17524.0,23.0
67805.0,1598.0,4371.0,6686.0,19515.0,27.0
67580.0,1389.0,3886.0,5769.0,21345.0,33.0
67383.0,1212.0,3406.0,5007.0,22956.0,38.0
67209.0,1052.0,2984.0,4366.0,24347.0,44.0
67061.0,914.0,2597.0,3852.0,25526.0,52.0
66926.0,803.0,2255.0,3435.0,26525.0,59.0
66801.0,711.0,1956.0,3080.0,27389.0,65.0
66682.0,639.0,1715.0,2776.0,28117.0,72.0
66570.0,590.0,1491.0,2536.0,28736.0,78.0
66461.0,545.0,1316.0,2315.0,29278.0,87.0
66357.0,514.0,1154.0,2118.0,29765.0,93.0
66256.0,490.0,1013.0,1934.0,30208.0,100.0
66154.0,476.0,904.0,1774.0,30586.0,107.0
66048.0,468.0,818.0,1623.0,30931.0,114.0
65939.0,470.0,742.0,1497.0,31235.0,119.0
65824.0,484.0,690.0,1379.0,31500.0,125.0
65710.0,496.0,650.0,1268.0,31747.0,131.0
65594.0,501.0,629.0,1166.0,31976.0,136.0
65474.0,518.0,609.0,1076.0,32184.0,141.0
65343.0,537.0,600.0,1002.0,32374.0,146.0
65210.0,555.0,600.0,941.0,32545.0,150.0
65072.0,580.0,600.0,883.0,32713.0,154.0
64905.0,620.0,616.0,836.0,32868.0,157.0
64744.0,654.0,636.0,792.0,33016.0,161.0
64573.0,695.0,645.0,759.0,33166.0,164.0
64382.0,747.0,668.0,733.0,33306.0,166.0
64179.0,801.0,699.0,711.0,33443.0,168.0
63969.0,853.0,735.0,692.0,33583.0,170.0
63738.0,910.0,778.0,686.0,33717.0,173.0
63506.0,959.0,837.0,678.0,33848.0,174.0
63247.0,1022.0,889.0,688.0,33981.0,175.0
62985.0,1079.0,944.0,700.0,34118.0,177.0
62710.0,1135.0,1003.0,714.0,34262.0,178.0
62432.0,1183.0,1061.0,740.0,34406.0,180.0
62134.0,1233.0,1121.0,759.0,34573.0,181.0
61824.0,1279.0,1194.0,781.0,34741.0,182.0
61517.0,1329.0,1253.0,813.0,34907.0,183.0
61199.0,1357.0,1329.0,852.0,35080.0,184.0
60877.0,1391.0,1391.0,894.0,35263.0,185.0
60551.0,1414.0,1458.0,929.0,35464.0,187.0
60211.0,1442.0,1512.0,977.0,35671.0,188.0
59882.0,1466.0,1554.0,1012.0,35898.0,189.0
59541.0,1483.0,1610.0,1044.0,36134.0,190.0
59212.0,1495.0,1648.0,1075.0,36381.0,191.0
58875.0,1502.0,1691.0,1106.0,36636.0,192.0
58539.0,1498.0,1734.0,1139.0,36899.0,193.0
58222.0,1489.0,1753.0,1171.0,37172.0,194.0
57910.0,1468.0,1770.0,1198.0,37460.0,195.0
57602.0,1445.0,1780.0,1227.0,37751.0,196.0
57306.0,1414.0,1791.0,1245.0,38049.0,197.0
57023.0,1371.0,1794.0,1268.0,38348.0,198.0
56741.0,1332.0,1793.0,1277.0,38659.0,199.0
56464.0,1305.0,1775.0,1281.0,38976.0,201.0
56200.0,1262.0,1756.0,1285.0,39297.0,202.0
55947.0,1229.0,1714.0,1287.0,39621.0,204.0
55702.0,1188.0,1679.0,1276.0,39952.0,205.0
55465.0,1146.0,1639.0,1272.0,40273.0,207.0
55243.0,1103.0,1591.0,1263.0,40594.0,208.0
55026.0,1058.0,1550.0,1259.0,40898.0,210.0
54814.0,1014.0,1511.0,1237.0,41213.0,212.0
54603.0,986.0,1466.0,1213.0,41521.0,214.0
54405.0,955.0,1427.0,1184.0,41816.0,215.0
54206.0,933.0,1373.0,1164.0,42109.0,216.0
54008.0,914.0,1329.0,1140.0,42393.0,218.0
53825.0,883.0,1281.0,1117.0,42675.0,221.0
53636.0,865.0,1243.0,1085.0,42950.0,223.0
53454.0,852.0,1198.0,1058.0,43214.0,225.0
53271.0,840.0,1169.0,1022.0,43474.0,226.0
53092.0,831.0,1132.0,993.0,43725.0,228.0
52923.0,821.0,1094.0,973.0,43960.0,230.0
