n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99974.0,19.0,6.0,1.0,0.0,0.0
99965.0,22.0,12.0,2.0,0.0,0.0
99956.0,26.0,15.0,4.0,0.0,0.0
99946.0,32.0,17.0,6.0,0.0,0.0
99935.0,39.0,20.0,7.0,0.0,0.0
99918.0,49.0,25.0,9.0,0.0,0.0
99895.0,63.0,30.0,12.0,1.0,0.0
99869.0,81.0,35.0,13.0,3.0,0.0
99837.0,101.0,41.0,15.0,8.0,0.0
99798.0,123.0,52.0,16.0,12.0,0.0
99746.0,155.0,64.0,21.0,16.0,0.0
99676.0,199.0,78.0,27.0,21.0,0.0
99600.0,243.0,99.0,31.0,28.0,0.0
99505.0,300.0,123.0,40.0,33.0,0.0
99389.0,367.0,155.0,51.0,40.0,0.0
99237.0,460.0,193.0,65.0,47.0,0.0
99035.0,587.0,239.0,83.0,57.0,0.0
98795.0,740.0,292.0,103.0,72.0,0.0
98501.0,918.0,362.0,130.0,91.0,0.0
98145.0,1130.0,451.0,162.0,114.0,0.0
97713.0,1383.0,561.0,203.0,142.0,0.0
97171.0,1693.0,705.0,258.0,175.0,0.0
96516.0,2072.0,871.0,321.0,221.0,0.0
95727.0,2535.0,1070.0,396.0,273.0,0.0
94789.0,3059.0,1315.0,498.0,341.0,0.0
93613.0,3729.0,1617.0,619.0,423.0,1.0
92150.0,4566.0,2003.0,758.0,524.0,1.0
90429.0,5543.0,2450.0,923.0,656.0,1.0
88420.0,6667.0,2963.0,1136.0,815.0,1.0
86107.0,7870.0,3601.0,1408.0,1015.0,1.0
83370.0,9250.0,4394.0,1729.0,1258.0,1.0
80244.0,10779.0,5297.0,2123.0,1558.0,2.0
76695.0,12439.0,6341.0,2594.0,1931.0,2.0
72793.0,14127.0,7523.0,3170.0,2387.0,3.0
68548.0,15808.0,8862.0,3846.0,2935.0,3.0
63980.0,17389.0,10397.0,4625.0,3607.0,3.0
59218.0,18865.0,11996.0,5518.0,4401.0,4.0
54358.0,20017.0,13748.0,6470.0,5404.0,5.0
49478.0,20843.0,15564.0,7536.0,6574.0,6.0
44745.0,21203.0,17408.0,8673.0,7964.0,8.0
40190.0,21201.0,19149.0,9834.0,9617.0,10.0
36027.0,20629.0,20766.0,10999.0,11569.0,12.0
32226.0,19667.0,22124.0,12149.0,13820.0,15.0
28831.0,18410.0,23065.0,13239.0,16437.0,19.0
25874.0,16851.0,23722.0,14211.0,19321.0,23.0
23276.0,15157.0,23943.0,15046.0,22553.0,27.0
21087.0,13413.0,23648.0,15667.0,26154.0,33.0
19261.0,11685.0,23016.0,16008.0,29994.0,38.0
17737.0,10040.0,21958.0,16158.0,34063.0,45.0
16460.0,8537.0,20604.0,16043.0,38303.0,55.0
15409.0,7169.0,19055.0,15695.0,42610.0,64.0
14553.0,5991.0,17341.0,15086.0,46956.0,74.0
13840.0,4985.0,15543.0,14344.0,51203.0,86.0
13252.0,4124.0,13778.0,13470.0,55278.0,100.0
12755.0,3420.0,12045.0,12488.0,59179.0,114.0
12350.0,2826.0,10417.0,11510.0,62770.0,130.0
12030.0,2335.0,8908.0,10489.0,66095.0,145.0
11762.0,1917.0,7567.0,9500.0,69092.0,164.0
11539.0,1578.0,6407.0,8563.0,71732.0,183.0
11348.0,1304.0,5385.0,7677.0,74087.0,201.0
11192.0,1077.0,4513.0,6859.0,76140.0,221.0
11061.0,893.0,3759.0,6143.0,77907.0,239.0
10949.0,746.0,3128.0,5493.0,79430.0,256.0
10860.0,623.0,2579.0,4917.0,80748.0,274.0
10785.0,520.0,2123.0,4407.0,81871.0,295.0
10724.0,432.0,1759.0,3950.0,82824.0,314.0
10671.0,360.0,1458.0,3551.0,83633.0,328.0
10628.0,297.0,1211.0,3174.0,84347.0,345.0
10593.0,245.0,1014.0,2822.0,84968.0,360.0
10562.0,208.0,840.0,2520.0,85500.0,372.0
10534.0,173.0,702.0,2252.0,85956.0,385.0
10510.0,147.0,586.0,2018.0,86345.0,396.0
10491.0,126.0,487.0,1801.0,86690.0,407.0
10476.0,107.0,404.0,1602.0,86995.0,418.0
10461.0,92.0,337.0,1424.0,87262.0,426.0
10449.0,78.0,285.0,1259.0,87498.0,433.0
10439.0,67.0,237.0,1116.0,87704.0,440.0
10430.0,58.0,198.0,988.0,87881.0,446.0
10422.0,47.0,173.0,871.0,88036.0,453.0
10416.0,41.0,146.0,773.0,88169.0,457.0
10410.0,37.0,122.0,686.0,88285.0,463.0
10405.0,31.0,103.0,604.0,88391.0,467.0
10401.0,27.0,86.0,532.0,88485.0,471.0
10397.0,21.0,74.0,464.0,88570.0,475.0
10394.0,17.0,62.0,408.0,88642.0,479.0
10392.0,16.0,52.0,357.0,88704.0,481.0
10390.0,13.0,45.0,313.0,88757.0,483.0
10389.0,10.0,39.0,274.0,88805.0,485.0
10387.0,9.0,34.0,236.0,88850.0,486.0
10385.0,9.0,28.0,205.0,88888.0,487.0
10383.0,8.0,23.0,181.0,88918.0,488.0
10382.0,7.0,21.0,156.0,88946.0,489.0
10381.0,7.0,17.0,135.0,88971.0,491.0
10380.0,6.0,15.0,118.0,88991.0,492.0
10379.0,5.0,14.0,101.0,89010.0,493.0
10378.0,5.0,11.0,89.0,89026.0,493.0
10377.0,4.0,10.0,79.0,89038.0,494.0
10377.0,4.0,9.0,69.0,89049.0,494.0
10376.0,3.0,8.0,61.0,89059.0,495.0
10376.0,2.0,8.0,52.0,89069.0,495.0
10376.0,2.0,7.0,47.0,89074.0,495.0
10375.0,2.0,5.0,42.0,89081.0,496.0
10375.0,2.0,5.0,35.0,89089.0,496.0
10375.0,2.0,5.0,29.0,89095.0,496.0
10374.0,1.0,4.0,25.0,89101.0,496.0
10374.0,1.0,4.0,21.0,89106.0,496.0
10374.0,1.0,3.0,19.0,89109.0,496.0
10374.0,1.0,3.0,17.0,89111.0,496.0
10373.0,1.0,2.0,15.0,89114.0,496.0
10373.0,1.0,2.0,12.0,89117.0,496.0
10373.0,0.0,2.0,11.0,89119.0,496.0
10373.0,1.0,2.0,9.0,89121.0,496.0
10373.0,1.0,1.0,9.0,89122.0,496.0
10373.0,1.0,1.0,8.0,89123.0,496.0
10373.0,0.0,2.0,7.0,89124.0,496.0
10373.0,0.0,2.0,6.0,89125.0,496.0
10373.0,1.0,1.0,5.0,89126.0,496.0
