n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99974.0,19.0,6.0,1.0,0.0,0.0
99965.0,22.0,12.0,2.0,0.0,0.0
99956.0,26.0,15.0,4.0,0.0,0.0
99946.0,32.0,17.0,6.0,0.0,0.0
99935.0,39.0,20.0,7.0,0.0,0.0
99918.0,49.0,25.0,9.0,0.0,0.0
99895.0,63.0,30.0,12.0,1.0,0.0
99869.0,81.0,35.0,13.0,3.0,0.0
99837.0,101.0,41.0,15.0,8.0,0.0
99798.0,123.0,52.0,16.0,12.0,0.0
99746.0,155.0,64.0,21.0,16.0,0.0
99676.0,199.0,78.0,27.0,21.0,0.0
99600.0,243.0,99.0,31.0,28.0,0.0
99505.0,300.0,123.0,40.0,33.0,0.0
99389.0,367.0,155.0,51.0,40.0,0.0
99237.0,460.0,193.0,65.0,47.0,0.0
99035.0,587.0,239.0,83.0,57.0,0.0
98795.0,740.0,292.0,103.0,72.0,0.0
98501.0,918.0,362.0,130.0,91.0,0.0
98145.0,1130.0,451.0,162.0,114.0,0.0
97713.0,1383.0,561.0,203.0,142.0,0.0
97171.0,1693.0,705.0,258.0,175.0,0.0
96516.0,2072.0,871.0,321.0,221.0,0.0
95727.0,2535.0,1070.0,396.0,273.0,0.0
94789.0,3059.0,1315.0,498.0,341.0,0.0
93613.0,3729.0,1617.0,619.0,423.0,1.0
92150.0,4566.0,2003.0,758.0,524.0,1.0
90429.0,5543.0,2450.0,923.0,656.0,1.0
88402.0,6685.0,2963.0,1136.0,815.0,1.0
86073.0,7904.0,3619.0,1390.0,1015.0,1.0
83337.0,9277.0,4374.0,1755.0,1258.0,1.0
80488.0,10513.0,5237.0,2205.0,1558.0,2.0
77625.0,11489.0,5800.0,3155.0,1931.0,2.0
74880.0,12024.0,6434.0,4274.0,2387.0,3.0
72333.0,12097.0,6989.0,5645.0,2935.0,3.0
70196.0,11578.0,7460.0,7158.0,3607.0,3.0
68435.0,10607.0,7447.0,9104.0,4404.0,4.0
67007.0,9338.0,7470.0,10780.0,5403.0,5.0
65855.0,7966.0,7387.0,12209.0,6578.0,6.0
64921.0,6658.0,7301.0,13140.0,7973.0,8.0
64143.0,5502.0,7173.0,13541.0,9632.0,10.0
63478.0,4562.0,7036.0,13406.0,11508.0,12.0
62898.0,3813.0,6831.0,12860.0,13584.0,15.0
62400.0,3216.0,6538.0,11976.0,15854.0,18.0
61975.0,2712.0,6172.0,10918.0,18203.0,22.0
61608.0,2322.0,5705.0,9755.0,20586.0,26.0
61290.0,2013.0,5178.0,8622.0,22869.0,30.0
61012.0,1727.0,4667.0,7540.0,25021.0,35.0
60759.0,1508.0,4140.0,6560.0,26994.0,41.0
60540.0,1321.0,3632.0,5720.0,28739.0,50.0
60342.0,1164.0,3177.0,5029.0,30234.0,56.0
60163.0,1038.0,2781.0,4430.0,31528.0,63.0
59995.0,934.0,2425.0,3939.0,32638.0,71.0
59833.0,844.0,2132.0,3530.0,33583.0,79.0
59681.0,782.0,1866.0,3176.0,34409.0,88.0
59522.0,752.0,1635.0,2876.0,35121.0,97.0
59365.0,734.0,1445.0,2616.0,35737.0,105.0
59209.0,724.0,1292.0,2388.0,36275.0,114.0
59053.0,715.0,1180.0,2184.0,36747.0,122.0
58895.0,711.0,1087.0,2013.0,37165.0,131.0
58731.0,717.0,1010.0,1863.0,37540.0,140.0
58568.0,725.0,955.0,1719.0,37889.0,146.0
58390.0,745.0,921.0,1595.0,38198.0,152.0
58197.0,777.0,893.0,1484.0,38491.0,160.0
58010.0,801.0,882.0,1391.0,38754.0,165.0
57812.0,831.0,883.0,1306.0,39001.0,169.0
57602.0,873.0,888.0,1234.0,39232.0,173.0
57372.0,917.0,906.0,1178.0,39451.0,178.0
57143.0,957.0,929.0,1121.0,39670.0,182.0
56903.0,1002.0,960.0,1077.0,39873.0,186.0
56648.0,1047.0,1003.0,1040.0,40073.0,190.0
56380.0,1096.0,1044.0,1018.0,40271.0,193.0
56102.0,1151.0,1091.0,995.0,40468.0,196.0
55801.0,1214.0,1144.0,985.0,40660.0,198.0
55492.0,1269.0,1199.0,978.0,40864.0,200.0
55167.0,1332.0,1259.0,980.0,41061.0,202.0
54836.0,1392.0,1317.0,991.0,41263.0,204.0
54499.0,1444.0,1377.0,999.0,41477.0,206.0
54156.0,1479.0,1438.0,1026.0,41696.0,207.0
53787.0,1530.0,1514.0,1048.0,41915.0,208.0
53414.0,1577.0,1583.0,1076.0,42141.0,210.0
53044.0,1614.0,1649.0,1095.0,42387.0,212.0
52660.0,1655.0,1712.0,1127.0,42634.0,214.0
52268.0,1685.0,1789.0,1163.0,42882.0,215.0
51880.0,1712.0,1829.0,1207.0,43158.0,217.0
51494.0,1737.0,1877.0,1240.0,43435.0,218.0
51116.0,1730.0,1938.0,1268.0,43729.0,220.0
50728.0,1741.0,1982.0,1298.0,44032.0,221.0
50350.0,1731.0,2032.0,1324.0,44343.0,222.0
49966.0,1730.0,2065.0,1355.0,44662.0,223.0
49602.0,1710.0,2081.0,1389.0,44995.0,225.0
49239.0,1689.0,2097.0,1414.0,45336.0,226.0
48883.0,1657.0,2118.0,1427.0,45690.0,228.0
48536.0,1631.0,2108.0,1447.0,46051.0,229.0
48194.0,1601.0,2092.0,1472.0,46413.0,230.0
47866.0,1567.0,2073.0,1488.0,46776.0,232.0
47550.0,1525.0,2048.0,1495.0,47150.0,234.0
47247.0,1471.0,2035.0,1496.0,47517.0,236.0
46938.0,1433.0,2008.0,1479.0,47906.0,238.0
46638.0,1399.0,1969.0,1479.0,48277.0,240.0
46361.0,1359.0,1922.0,1467.0,48653.0,241.0
46079.0,1330.0,1880.0,1446.0,49026.0,242.0
45803.0,1300.0,1843.0,1423.0,49389.0,244.0
45533.0,1268.0,1794.0,1410.0,49752.0,246.0
45268.0,1236.0,1755.0,1383.0,50113.0,247.0
45013.0,1204.0,1712.0,1359.0,50464.0,250.0
44769.0,1170.0,1668.0,1338.0,50806.0,251.0
44531.0,1139.0,1624.0,1314.0,51139.0,254.0
44284.0,1126.0,1591.0,1283.0,51462.0,256.0
44056.0,1098.0,1543.0,1257.0,51790.0,258.0
43834.0,1064.0,1506.0,1242.0,52096.0,260.0
43623.0,1028.0,1460.0,1232.0,52398.0,261.0
43417.0,993.0,1424.0,1209.0,52695.0,263.0
43207.0,966.0,1396.0,1179.0,52989.0,265.0
