n_susceptible,n_exposed,n_infectious,n_diagnosed,n_recovered,n_dead
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99980.0,20.0,0.0,0.0,0.0,0.0
99974.0,19.0,6.0,1.0,0.0,0.0
99965.0,22.0,12.0,2.0,0.0,0.0
99956.0,26.0,15.0,4.0,0.0,0.0
99946.0,32.0,17.0,6.0,0.0,0.0
99935.0,39.0,20.0,7.0,0.0,0.0
99918.0,49.0,25.0,9.0,0.0,0.0
99895.0,63.0,30.0,12.0,1.0,0.0
99869.0,81.0,35.0,13.0,3.0,0.0
99837.0,101.0,41.0,15.0,8.0,0.0
99798.0,123.0,52.0,16.0,12.0,0.0
99746.0,155.0,64.0,21.0,16.0,0.0
99676.0,199.0,78.0,27.0,21.0,0.0
99600.0,243.0,99.0,31.0,28.0,0.0
99505.0,300.0,123.0,40.0,33.0,0.0
99389.0,367.0,155.0,51.0,40.0,0.0
99237.0,460.0,193.0,65.0,47.0,0.0
99035.0,587.0,239.0,83.0,57.0,0.0
98795.0,740.0,292.0,103.0,72.0,0.0
98501.0,918.0,362.0,130.0,91.0,0.0
98145.0,1130.0,451.0,162.0,114.0,0.0
97713.0,1383.0,561.0,203.0,142.0,0.0
97171.0,1693.0,705.0,258.0,175.0,0.0
96516.0,2072.0,871.0,321.0,221.0,0.0
95727.0,2535.0,1070.0,396.0,273.0,0.0
94789.0,3059.0,1315.0,498.0,341.0,0.0
93613.0,3729.0,1617.0,619.0,423.0,1.0
92150.0,4566.0,2003.0,758.0,524.0,1.0
90429.0,5543.0,2450.0,923.0,656.0,1.0
88402.0,6685.0,2963.0,1136.0,815.0,1.0
86080.0,7897.0,3619.0,1390.0,1015.0,1.0
83387.0,9228.0,4356.0,1772.0,1258.0,1.0
80662.0,10338.0,5198.0,2245.0,1558.0,2.0
78096.0,11030.0,5545.0,3398.0,1931.0,2.0
75754.0,11184.0,5999.0,4676.0,2387.0,3.0
73738.0,10769.0,6252.0,6305.0,2935.0,3.0
72189.0,9788.0,6465.0,7949.0,3607.0,3.0
71015.0,8466.0,6079.0,10036.0,4402.0,4.0
70086.0,7062.0,6014.0,11438.0,5397.0,5.0
69326.0,5766.0,5975.0,12358.0,6570.0,6.0
68687.0,4667.0,6062.0,12613.0,7964.0,8.0
68129.0,3808.0,6071.0,12391.0,9592.0,10.0
67631.0,3166.0,6034.0,11711.0,11448.0,12.0
67196.0,2694.0,5850.0,10779.0,13467.0,15.0
66819.0,2306.0,5564.0,9701.0,15594.0,19.0
66493.0,2002.0,5168.0,8571.0,17746.0,22.0
66202.0,1756.0,4710.0,7485.0,19824.0,25.0
65957.0,1528.0,4201.0,6486.0,21800.0,30.0
65747.0,1318.0,3718.0,5622.0,23561.0,36.0
65569.0,1133.0,3240.0,4893.0,25126.0,42.0
65409.0,981.0,2816.0,4266.0,26479.0,51.0
65265.0,855.0,2450.0,3781.0,27593.0,57.0
65132.0,760.0,2130.0,3363.0,28554.0,63.0
65003.0,685.0,1860.0,3018.0,29364.0,71.0
64881.0,638.0,1613.0,2718.0,30072.0,80.0
64764.0,589.0,1418.0,2473.0,30670.0,87.0
64646.0,563.0,1240.0,2254.0,31203.0,96.0
64529.0,542.0,1091.0,2063.0,31675.0,103.0
64412.0,536.0,975.0,1888.0,32081.0,110.0
64291.0,534.0,884.0,1728.0,32447.0,118.0
64171.0,539.0,809.0,1592.0,32766.0,124.0
64054.0,537.0,757.0,1458.0,33064.0,131.0
63927.0,544.0,719.0,1345.0,33329.0,137.0
63792.0,563.0,689.0,1244.0,33571.0,143.0
63647.0,585.0,681.0,1148.0,33793.0,148.0
63494.0,615.0,672.0,1060.0,34009.0,152.0
63334.0,651.0,673.0,992.0,34196.0,156.0
63162.0,690.0,681.0,940.0,34368.0,160.0
62983.0,732.0,693.0,891.0,34540.0,163.0
62796.0,767.0,721.0,850.0,34703.0,165.0
62591.0,816.0,753.0,814.0,34859.0,168.0
62373.0,872.0,780.0,790.0,35016.0,171.0
62144.0,927.0,812.0,775.0,35171.0,173.0
61899.0,984.0,857.0,764.0,35323.0,175.0
61649.0,1034.0,911.0,759.0,35473.0,177.0
61380.0,1094.0,958.0,760.0,35632.0,178.0
61107.0,1136.0,1029.0,766.0,35784.0,180.0
60807.0,1194.0,1093.0,781.0,35945.0,181.0
60509.0,1248.0,1154.0,804.0,36105.0,182.0
60187.0,1310.0,1219.0,823.0,36279.0,183.0
59869.0,1362.0,1279.0,853.0,36455.0,184.0
59540.0,1401.0,1350.0,884.0,36641.0,186.0
59205.0,1442.0,1411.0,916.0,36840.0,187.0
58869.0,1470.0,1473.0,956.0,37045.0,188.0
58520.0,1499.0,1537.0,985.0,37271.0,189.0
58173.0,1524.0,1596.0,1020.0,37498.0,190.0
57823.0,1543.0,1654.0,1049.0,37741.0,192.0
57478.0,1550.0,1710.0,1086.0,37985.0,192.0
57134.0,1552.0,1746.0,1125.0,38251.0,193.0
56803.0,1536.0,1787.0,1159.0,38522.0,194.0
56454.0,1536.0,1828.0,1190.0,38798.0,196.0
56119.0,1524.0,1848.0,1226.0,39088.0,197.0
55788.0,1516.0,1849.0,1259.0,39392.0,198.0
55475.0,1490.0,1857.0,1285.0,39696.0,199.0
55175.0,1446.0,1866.0,1307.0,40009.0,200.0
54874.0,1413.0,1859.0,1321.0,40334.0,201.0
54585.0,1381.0,1853.0,1317.0,40664.0,202.0
54303.0,1345.0,1829.0,1323.0,40999.0,203.0
54022.0,1309.0,1806.0,1326.0,41335.0,204.0
53759.0,1277.0,1765.0,1315.0,41680.0,206.0
53503.0,1240.0,1730.0,1315.0,42007.0,207.0
53254.0,1197.0,1709.0,1301.0,42333.0,209.0
53009.0,1163.0,1672.0,1293.0,42655.0,210.0
52770.0,1133.0,1627.0,1285.0,42975.0,211.0
52537.0,1107.0,1583.0,1262.0,43301.0,212.0
52322.0,1069.0,1534.0,1240.0,43624.0,213.0
52096.0,1042.0,1491.0,1215.0,43942.0,215.0
51890.0,1007.0,1451.0,1195.0,44243.0,216.0
51680.0,987.0,1407.0,1168.0,44541.0,219.0
51477.0,963.0,1368.0,1137.0,44836.0,221.0
51276.0,934.0,1336.0,1107.0,45126.0,223.0
51085.0,910.0,1292.0,1087.0,45405.0,224.0
50896.0,892.0,1262.0,1064.0,45663.0,225.0
50698.0,877.0,1233.0,1045.0,45922.0,227.0
50508.0,863.0,1202.0,1021.0,46180.0,228.0
50325.0,853.0,1165.0,1002.0,46427.0,230.0
