Start,End,beta_1,beta_2,alpha,gamma,lamda,Date
2020-03-01,2020-03-09,0.722263036642497,0.16520719594351368,0.0,0.0,0.03916002630893496,2020-03-01
2020-03-01,2020-03-09,0.722263036642497,0.16520719594351368,0.0,0.0,0.03916002630893496,2020-03-02
2020-03-01,2020-03-09,0.722263036642497,0.16520719594351368,0.0,0.0,0.03916002630893496,2020-03-03
2020-03-01,2020-03-09,0.722263036642497,0.16520719594351368,0.0,0.0,0.03916002630893496,2020-03-04
2020-03-01,2020-03-09,0.722263036642497,0.16520719594351368,0.0,0.0,0.03916002630893496,2020-03-05
2020-03-01,2020-03-09,0.722263036642497,0.16520719594351368,0.0,0.0,0.03916002630893496,2020-03-06
2020-03-01,2020-03-09,0.722263036642497,0.16520719594351368,0.0,0.0,0.03916002630893496,2020-03-07
2020-03-01,2020-03-09,0.722263036642497,0.16520719594351368,0.0,0.0,0.03916002630893496,2020-03-08
2020-03-01,2020-03-09,0.722263036642497,0.16520719594351368,0.0,0.0,0.03916002630893496,2020-03-09
2020-03-10,2020-03-17,0.8413863125453281,0.1107317986892122,0.0,0.03727955711104299,0.022543500082941467,2020-03-10
2020-03-10,2020-03-17,0.8413863125453281,0.1107317986892122,0.0,0.03727955711104299,0.022543500082941467,2020-03-11
2020-03-10,2020-03-17,0.8413863125453281,0.1107317986892122,0.0,0.03727955711104299,0.022543500082941467,2020-03-12
2020-03-10,2020-03-17,0.8413863125453281,0.1107317986892122,0.0,0.03727955711104299,0.022543500082941467,2020-03-13
2020-03-10,2020-03-17,0.8413863125453281,0.1107317986892122,0.0,0.03727955711104299,0.022543500082941467,2020-03-14
2020-03-10,2020-03-17,0.8413863125453281,0.1107317986892122,0.0,0.03727955711104299,0.022543500082941467,2020-03-15
2020-03-10,2020-03-17,0.8413863125453281,0.1107317986892122,0.0,0.03727955711104299,0.022543500082941467,2020-03-16
2020-03-10,2020-03-17,0.8413863125453281,0.1107317986892122,0.0,0.03727955711104299,0.022543500082941467,2020-03-17
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-18
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-19
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-20
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-21
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-22
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-23
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-24
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-25
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-26
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-27
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-28
2020-03-18,2020-03-29,0.8319314582813512,0.09707639614144217,0.0,0.031058368036073748,0.03370429653968943,2020-03-29
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-03-30
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-03-31
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-01
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-02
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-03
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-04
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-05
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-06
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-07
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-08
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-09
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-10
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-11
2020-03-30,2020-04-12,0.7470100439947862,0.10102529123749622,8.925627152126072e-05,0.039246974651070646,0.13604696432655547,2020-04-12
2020-04-13,2020-04-20,0.10800321070290354,0.16721391115483614,0.0003929553103175436,0.16250439697175142,0.09650240654763463,2020-04-13
